day_of_week,hour_sin,hour_cos,month_sin,month_cos,is_weekend,quarter,lat,long,label
0.85714286,-0.30901699,-0.95105652,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.31316381,-0.94969913,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.31730466,-0.94832366,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.32143947,-0.94693013,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.32556815,-0.94551858,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.32969065,-0.94408902,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.33380686,-0.94264149,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.33791672,-0.94117602,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.34202014,-0.93969262,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.34611706,-0.93819134,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.35020738,-0.93667219,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.35429104,-0.93513521,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.35836795,-0.93358043,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.36243804,-0.93200787,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.36650123,-0.93041757,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.37055744,-0.92880955,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.37460659,-0.92718385,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.37864862,-0.92554050,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.38268343,-0.92387953,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.38671096,-0.92220097,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.39073113,-0.92050485,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.39474386,-0.91879121,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.39874907,-0.91706007,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.40274669,-0.91531148,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.40673664,-0.91354546,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.41071885,-0.91176204,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.41469324,-0.90996127,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.41865974,-0.90814317,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.42261826,-0.90630779,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.42656874,-0.90445515,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.43051110,-0.90258528,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.43444526,-0.90069824,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.43837115,-0.89879405,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.44228869,-0.89687274,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.44619781,-0.89493436,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.45009844,-0.89297894,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.45399050,-0.89100652,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.45787392,-0.88901714,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.46174861,-0.88701083,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.46561452,-0.88498764,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.46947156,-0.88294759,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.47331967,-0.88089074,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.49621650,-0.86819881,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.54097447,-0.84103901,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.55193699,-0.83388582,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.55557023,-0.83146961,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.55919290,-0.82903757,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.56280493,-0.82658975,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.57357644,-0.81915204,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.57714519,-0.81664156,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.58070296,-0.81411552,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.58424967,-0.81157398,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.60529399,-0.79600200,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
